Ciudad;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
Albacete;4;4;5;6;7;4;1;2;3;5;5;5
Alicante;4;3;4;4;4;2;1;1;3;4;4;4
Almeria;3;3;3;3;2;1;0;0;1;3;3;3
Avila;6;5;4;8;9;5;2;2;4;6;6;7
Badajoz;7;6;5;7;6;3;1;1;3;7;7;8
Barcelona;5;4;5;5;5;4;2;4;5;6;5;5
Bilbao;13;11;11;13;12;8;7;8;9;11;12;12
Burgos;8;8;6;9;10;6;4;4;5;8;8;9
Caceres;7;7;5;7;6;3;1;1;3;7;7;9
Cadiz;7;7;5;6;4;2;0;0;2;6;7;9
Castellón;4;3;4;5;5;3;2;3;4;5;4;4
Ceuta;10;11;9;8;5;3;1;1;3;8;9;11
Ciudad Real;6;6;5;8;7;4;1;1;3;6;6;8
Cordoba;7;6;5;8;5;2;1;1;2;6;6;8
Coruña;14;14;12;13;11;7;5;6;8;12;14;15
Cuenca;7;6;6;8;8;5;2;3;5;8;7;8
Gerona;5;5;6;7;7;6;4;5;6;6;5;5
Granada;6;6;5;7;4;2;0;1;2;5;6;7
Guadalajara;6;6;6;9;10;7;4;4;5;7;6;8
Huelva;7;6;5;6;4;1;0;0;2;5;6;8
Huesca;6;5;4;6;8;5;3;4;4;6;6;6
Las Palmas;3;3;3;1;0;0;0;0;1;2;3;4
León;8;7;6;8;9;6;4;3;4;8;7;9
Lerida;4;3;4;5;6;4;2;3;4;4;4;4
Logroño;6;5;5;7;8;5;4;4;4;6;6;6
Lugo;14;13;12;13;13;7;5;5;8;13;14;14
Madrid;6;6;5;7;8;4;2;2;3;6;6;7
Malaga;6;5;4;5;3;2;0;0;2;4;5;6
Mallorca;5;5;4;6;4;2;1;1;4;7;6;6
Melilla;6;6;5;5;3;1;0;1;2;4;5;5
Murcia;3;3;3;4;4;2;1;1;2;4;4;4
Orense;10;10;8;11;10;5;3;3;6;10;10;11
Oviedo;10;11;11;13;12;8;8;8;8;11;11;11
Pamplona;9;9;8;10;10;6;5;5;6;8;9;10
Pontevedra;15;13;12;13;13;8;5;5;8;13;14;15
Salamanca;6;6;5;7;8;5;3;2;4;7;7;7
San Sebastian;13;12;12;14;12;10;9;10;10;12;13;12
Santander;13;12;12;13;11;8;7;7;9;12;13;12
Segovia;7;7;6;8;10;5;3;3;4;7;8;8
Sevilla;6;6;5;7;4;2;0;0;2;6;6;8
Soria;7;7;6;8;10;6;4;4;5;7;7;8
Tarragona;4;3;4;6;6;4;2;4;5;5;4;4
Tenerife;8;7;8;6;4;3;1;1;3;7;8;9
Teruel;4;3;4;7;8;6;3;4;5;6;4;5
Toledo;6;5;4;7;7;3;2;2;3;6;6;6
Valencia;4;3;4;5;5;3;1;2;4;5;4;5
Valladolid;7;6;5;8;9;5;3;3;4;7;6;8
Vitoria;10;10;9;12;10;6;5;5;6;9;10;11
Zamora;6;6;4;7;8;4;2;2;4;6;7;7
Zaragoza;4;4;4;5;6;4;3;2;3;5;5;5
